"site.x","site.y","riv_dist","env_dist","jac"
"TLA01","TLA01",0,0,0
"TLA01","TLA02",120.437756915204,4.56923652491474,0.666666666666667
"TLA01","TLA04",363.122067553683,5.07518436305122,0.88
"TLA01","TLB01",1192.35453160277,4.7685256377142,0.958333333333333
"TLA01","TLB02",1278.64539336917,5.3364915669772,0.904761904761905
"TLA01","TLC01",1735.28418015359,4.73011573574601,0.793103448275862
"TLA01","TLC02",2088.99561303717,3.623913368032,0.925925925925926
"TLA01","TLC03",2200.42123974363,3.99399353680735,0.772727272727273
"TLA01","TLCG1",1846.70980685957,4.52004754760115,0.8
"TLA01","TLM01",1801.50661392508,5.6398320740179,0.777777777777778
"TLA01","TLM03",1633.02915246312,6.17772469866955,0.806451612903226
"TLA01","TLM04",1398.03950856318,5.76692556771462,0.740740740740741
"TLA01","TLM05",1264.98795473793,5.64556556447346,0.921052631578947
"TLA01","TLM06",1126.03926895306,5.58843138748312,0.805555555555556
"TLA01","TLM08",870.057573165543,4.98350379606212,0.868421052631579
"TLA01","TLM09",771.152914489964,5.01621820067642,0.766666666666667
"TLA01","TLM10",594.521306785008,5.15790588418481,0.903225806451613
"TLA01","TLM13",480.548917131925,5.12941022910207,0.866666666666667
"TLA01","TLM14",356.099727024468,5.0403862956617,0.761904761904762
"TLA01","TLM15",167.553837568363,4.59163343291786,0.78125
"TLA01","TLM16",141.522637682088,4.98558368539105,0.739130434782609
"TLA01","TLM17",330.452498714817,4.74408724759021,0.869565217391304
"TLA01","TLM18",493.95505807631,5.15827333768357,0.782608695652174
"TLA01","TLM19",637.587503264594,5.4464791764095,0.947368421052632
"TLA01","TLM22",867.259512534543,6.36262224368511,1
"TLA01","TLMG5",226.956909515779,5.16631464732073,0.846153846153846
"TLA01","TLZ01",701.328814018281,4.70237922285307,0.588235294117647
"TLA02","TLA01",120.437756915204,4.56923652491474,0.666666666666667
"TLA02","TLA02",0,0,0
"TLA02","TLA04",242.684310638479,2.61173455717256,0.928571428571429
"TLA02","TLB01",1312.79228851798,2.35650951145308,0.961538461538461
"TLA02","TLB02",1399.08315028437,3.8082999087782,0.80952380952381
"TLA02","TLC01",1855.7219370688,2.87145788083567,0.806451612903226
"TLA02","TLC02",2209.43336995237,2.84694741887717,0.966666666666667
"TLA02","TLC03",2320.85899665883,4.06392569201623,0.84
"TLA02","TLCG1",1967.14756377477,4.45851336285157,0.933333333333333
"TLA02","TLM01",1921.94437084028,2.88138977491835,0.75
"TLA02","TLM03",1753.46690937832,3.18664639058305,0.885714285714286
"TLA02","TLM04",1518.47726547839,3.77904846059903,0.8
"TLA02","TLM05",1385.42571165314,3.36960832766009,0.837837837837838
"TLA02","TLM06",1246.47702586826,2.31785451943276,0.875
"TLA02","TLM08",990.495330080747,1.98585228126187,0.928571428571429
"TLA02","TLM09",891.590671405168,1.61488800826,0.78125
"TLA02","TLM10",714.959063700212,1.34683299366447,0.941176470588235
"TLA02","TLM13",600.986674047129,1.84565928567144,0.941176470588235
"TLA02","TLM14",476.537483939672,1.3842679103756,0.782608695652174
"TLA02","TLM15",287.991594483567,1.83476078138977,0.861111111111111
"TLA02","TLM16",261.960394597292,2.50090267469464,0.76
"TLA02","TLM17",450.890255630021,1.35841682254205,0.727272727272727
"TLA02","TLM18",614.392814991514,2.21179244634166,0.846153846153846
"TLA02","TLM19",758.025260179799,2.55214977604314,0.9
"TLA02","TLM22",987.697269449748,4.54559262050406,1
"TLA02","TLMG5",347.394666430983,1.67284256040701,0.857142857142857
"TLA02","TLZ01",821.766570933485,3.07649452224427,0.7
"TLA04","TLA01",363.122067553683,5.07518436305122,0.88
"TLA04","TLA02",242.684310638479,2.61173455717256,0.928571428571429
"TLA04","TLA04",0,0,0
"TLA04","TLB01",1555.47659915646,3.37942118722348,0.92
"TLA04","TLB02",1641.76746092285,2.72436597335977,0.958333333333333
"TLA04","TLC01",2098.40624770727,3.55579702689683,0.878787878787879
"TLA04","TLC02",2452.11768059085,2.80258922048061,0.851851851851852
"TLA04","TLC03",2563.54330729731,2.33686607161953,0.925925925925926
"TLA04","TLCG1",2209.83187441325,4.77608951189133,0.896551724137931
"TLA04","TLM01",2164.62868147876,4.28000255419025,0.90625
"TLA04","TLM03",1996.1512200168,4.15471541777927,0.945945945945946
"TLA04","TLM04",1761.16157611687,4.45714848169265,0.941176470588235
"TLA04","TLM05",1628.11002229161,4.07990224608273,0.897435897435897
"TLA04","TLM06",1489.16133650674,3.79674619265126,0.81578947368421
"TLA04","TLM08",1233.17964071923,1.74948835704872,0.875
"TLA04","TLM09",1134.27498204365,2.37936023938606,0.916666666666667
"TLA04","TLM10",957.643374338692,1.94958517710693,0.941176470588235
"TLA04","TLM13",843.670984685609,3.07366062327905,0.941176470588235
"TLA04","TLM14",719.221794578151,2.69234700568708,0.923076923076923
"TLA04","TLM15",530.675905122046,2.93277299163398,0.861111111111111
"TLA04","TLM16",504.644705235771,2.22306602823721,0.851851851851852
"TLA04","TLM17",693.5745662685,1.70054091117021,0.923076923076923
"TLA04","TLM18",857.077125629993,3.81781058481369,0.8
"TLA04","TLM19",1000.70957081828,2.87541416693881,0.777777777777778
"TLA04","TLM22",1230.38158008823,5.76347644532257,1
"TLA04","TLMG5",590.078977069462,2.32382255845918,0.896551724137931
"TLA04","TLZ01",1064.45088157196,3.2810541878638,0.818181818181818
"TLB01","TLA01",1192.35453160277,4.7685256377142,0.958333333333333
"TLB01","TLA02",1312.79228851798,2.35650951145308,0.961538461538461
"TLB01","TLA04",1555.47659915646,3.37942118722348,0.92
