"month","site.x","site.y","env_dist","jac","riv_dist"
"Mar","TLA01","TLA01",0,0,0
"Mar","TLA01","TLC01",3.63095601335701,0.791666666666667,1735.28418015359
"Mar","TLA01","TLM01",4.26686174210446,0.761904761904762,1801.50661392508
"Mar","TLA01","TLM06",3.60843754912678,0.866666666666667,1126.03926895306
"Mar","TLA01","TLM10",3.50559101896299,0.8125,594.521306785008
"Mar","TLA01","TLM16",2.69441452635044,0.538461538461538,141.522637682088
"Mar","TLA01","TLM19",4.44322434756346,0.916666666666667,637.587503264594
"Mar","TLC01","TLA01",3.63095601335701,0.791666666666667,1735.28418015359
"Mar","TLC01","TLC01",0,0,0
"Mar","TLC01","TLM01",4.57754266752321,0.818181818181818,162.487500621642
"Mar","TLC01","TLM06",3.60123464191841,0.794871794871795,609.244911200531
"Mar","TLC01","TLM10",3.79462885489713,0.857142857142857,1140.76287336858
"Mar","TLC01","TLM16",4.15962089093483,0.769230769230769,1743.14857773132
"Mar","TLC01","TLM19",4.96212101164778,1,2239.21344331383
"Mar","TLM01","TLA01",4.26686174210446,0.761904761904762,1801.50661392508
"Mar","TLM01","TLC01",4.57754266752321,0.818181818181818,162.487500621642
"Mar","TLM01","TLM01",0,0,0
"Mar","TLM01","TLM06",2.00289435936566,0.810810810810811,675.46734497202
"Mar","TLM01","TLM10",2.66533192706643,0.84,1206.98530714007
"Mar","TLM01","TLM16",5.04320794568669,0.791666666666667,1809.37101150281
"Mar","TLM01","TLM19",5.86830645720628,0.954545454545454,2305.43587708532
"Mar","TLM06","TLA01",3.60843754912678,0.866666666666667,1126.03926895306
"Mar","TLM06","TLC01",3.60123464191841,0.794871794871795,609.244911200531
"Mar","TLM06","TLM01",2.00289435936566,0.810810810810811,675.46734497202
"Mar","TLM06","TLM06",0,0,0
"Mar","TLM06","TLM10",2.35092017158716,0.806451612903226,531.517962168052
"Mar","TLM06","TLM16",4.00948697521535,0.806451612903226,1133.90366653079
"Mar","TLM06","TLM19",4.15591133548862,0.966666666666667,1629.9685321133
"Mar","TLM10","TLA01",3.50559101896299,0.8125,594.521306785008
"Mar","TLM10","TLC01",3.79462885489713,0.857142857142857,1140.76287336858
"Mar","TLM10","TLM01",2.66533192706643,0.84,1206.98530714007
"Mar","TLM10","TLM06",2.35092017158716,0.806451612903226,531.517962168052
"Mar","TLM10","TLM10",0,0,0
"Mar","TLM10","TLM16",3.81968495963929,0.777777777777778,602.38570436274
"Mar","TLM10","TLM19",5.04537165815241,1,1098.45056994525
"Mar","TLM16","TLA01",2.69441452635044,0.538461538461538,141.522637682088
"Mar","TLM16","TLC01",4.15962089093483,0.769230769230769,1743.14857773132
"Mar","TLM16","TLM01",5.04320794568669,0.791666666666667,1809.37101150281
"Mar","TLM16","TLM06",4.00948697521535,0.806451612903226,1133.90366653079
"Mar","TLM16","TLM10",3.81968495963929,0.777777777777778,602.38570436274
"Mar","TLM16","TLM16",0,0,0
"Mar","TLM16","TLM19",3.48484350649918,1,496.064865582506
"Mar","TLM19","TLA01",4.44322434756346,0.916666666666667,637.587503264594
"Mar","TLM19","TLC01",4.96212101164778,1,2239.21344331383
"Mar","TLM19","TLM01",5.86830645720628,0.954545454545454,2305.43587708532
"Mar","TLM19","TLM06",4.15591133548862,0.966666666666667,1629.9685321133
"Mar","TLM19","TLM10",5.04537165815241,1,1098.45056994525
"Mar","TLM19","TLM16",3.48484350649918,1,496.064865582506
"Mar","TLM19","TLM19",0,0,0
"Jun","TLA01","TLA01",0,0,0
"Jun","TLA01","TLC01",3.91394922637929,0.821428571428572,1735.28418015359
"Jun","TLA01","TLM01",5.81538694956416,0.807692307692308,1801.50661392508
"Jun","TLA01","TLM06",5.4657266063651,0.828571428571429,1126.03926895306
"Jun","TLA01","TLM10",3.82680126336553,0.933333333333333,594.521306785008
"Jun","TLA01","TLM16",3.87380910699361,0.772727272727273,141.522637682088
"Jun","TLA01","TLM19",4.33019621157648,0.944444444444444,637.587503264594
"Jun","TLC01","TLA01",3.91394922637929,0.821428571428572,1735.28418015359
"Jun","TLC01","TLC01",0,0,0
"Jun","TLC01","TLM01",4.37415282135445,0.709677419354839,162.487500621642
"Jun","TLC01","TLM06",3.84987819721815,0.780487804878049,609.244911200531
"Jun","TLC01","TLM10",3.14669635987771,0.828571428571429,1140.76287336858
"Jun","TLC01","TLM16",3.29790338384898,0.838709677419355,1743.14857773132
"Jun","TLC01","TLM19",3.88840057762105,1,2239.21344331383
"Jun","TLM01","TLA01",5.81538694956416,0.807692307692308,1801.50661392508
"Jun","TLM01","TLC01",4.37415282135445,0.709677419354839,162.487500621642
"Jun","TLM01","TLM01",0,0,0
"Jun","TLM01","TLM06",2.31569158185942,0.829268292682927,675.46734497202
"Jun","TLM01","TLM10",3.54822291961981,0.916666666666667,1206.98530714007
"Jun","TLM01","TLM16",5.30748758361245,0.785714285714286,1809.37101150281
"Jun","TLM01","TLM19",4.63290290119097,1,2305.43587708532
"Jun","TLM06","TLA01",5.4657266063651,0.828571428571429,1126.03926895306
"Jun","TLM06","TLC01",3.84987819721815,0.780487804878049,609.244911200531
"Jun","TLM06","TLM01",2.31569158185942,0.829268292682927,675.46734497202
"Jun","TLM06","TLM06",0,0,0
"Jun","TLM06","TLM10",2.81932600120422,0.886363636363636,531.517962168052
"Jun","TLM06","TLM16",4.17445224663978,0.810810810810811,1133.90366653079
"Jun","TLM06","TLM19",3.96928396031845,0.941176470588235,1629.9685321133
"Jun","TLM10","TLA01",3.82680126336553,0.933333333333333,594.521306785008
