"date","rich","PC1","PC2","median_QLs","julian"
2021-10-27,15,0.884706715887217,0.947212093451643,9.96045073,300
2021-11-17,21,0.379863774149563,1.10176435486652,12.38974279,321
2021-12-08,22,-1.46707408011241,-0.00274602913826081,13.51271385,342
2022-01-05,17,-1.07720197497173,-0.997477005659697,19.40695137,5
2022-01-24,15,-1.50134616944632,-0.961651230405591,14.0230024,24
2022-02-18,15,-1.25292420556297,-0.348879708492543,12.28047862,49
2022-03-10,17,-0.223539043970494,-1.57834031789316,33.524998035,69
2022-03-29,18,-0.430464963471759,-0.590895729461675,17.12184109,88
2022-04-22,26,1.46624498976355,-2.2287102550856,41.42968982,112
2022-05-12,26,2.47624449847206,-0.851988902583031,29.99773033,132
2022-06-09,20,0.440824257313125,-0.808347150765668,24.27944386,160
2022-06-28,14,1.51308607777847,-0.667793666611346,23.59295262,179
2022-07-19,11,2.7163035136422,0.689815897764902,18.37995485,200
2022-08-11,17,2.63900510125938,0.563252937566017,15.9674572,223
2022-09-02,4,0.843709257298318,0.352539745468545,14.47067002,245
2022-09-16,13,1.22157266637846,0.245784024861103,17.20380805,259
2022-10-07,16,0.388910428418991,0.20120209351267,11.89670467,280
2022-10-24,14,-0.425860497330951,3.06706211439204,8.8513318565,297
2022-11-15,11,-0.96484280018622,2.50862111324914,18.9824851,319
2022-12-12,7,-2.41394109646859,-0.305980191586485,15.94852559,346
2023-01-06,6,-2.6317031987884,-0.192926178829619,13.22436325,6
2023-01-30,9,-2.58157325005149,-0.1415180086199,11.996009645,30
