Species,Genus
Nilotanypus_fimbriatus,Nilotanypus
Tanytarsus_sp_U,Tanytarsus
Perlidae,Perlidae
Haploperla_spp,Haploperla
Tanytarsus_allicis_buckleyi,Tanytarsus
Hydropsyche_H_decalda,Hydropsyche
Acentrella_nadineae,Acentrella
Drunella_tuberculata,Drunella
Palpomyia_complex,Palpomyia
Stylurus_spp,Stylurus
Hydropsyche_C_macleodi,Hydropsyche
Tanytarsus_sepp,Tanytarsus
Nanocladius_spp,Nanocladius
Micropsectra_sp_A,Micropsectra
Helichus_spp,Helichus
Hydropsyche_H_phalerata,Hydropsyche
Glyptotendipes_spp,Glyptotendipes
Prosimulium_spp,Prosimulium
Habrophlebia_vibrans,Habrophlebia
Baetisca_spp,Baetisca
Dannella_spp,Dannella
Isoperla_holochlora_dark_form_cf_powhatan,Isoperla
Drunella_walkeri,Drunella
Tanytarsus_messersmithi,Tanytarsus
Phylocentropus_spp,Phylocentropus
Rhyacophila_appalachia_nigrita,Rhyacophila
Ceraclea_ancylus,Ceraclea
Agnetina_spp,Agnetina
Phaenopsectra_punctipes_gr,Phaenopsectra
Dicrotendipes_simpsoni,Dicrotendipes
Stenacron_carolina,Stenacron
Tribelos_fuscicorne,Tribelos
Ephemerella_invaria_gr,Ephemerella
Glossosoma_spp,Glossosoma
Cricotopus_cf_patens,Cricotopus
Perlodidae,Perlodidae
Branchiobdellidae,Branchiobdellidae
Pteronarcys_spp,Pteronarcys
Arctopsyche_irrorata,Arctopsyche
Pycnopsyche_gentilis,Pycnopsyche
Heterocloeon_petersi,Heterocloeon
Lanthus_vernalis,Lanthus
Erpobdella_Mooreobdella_spp,Erpobdella
Ectopria_nervosa,Ectopria
Tanytarsus_spp,Tanytarsus
Somatochlora_spp,Somatochlora
Sperchopsis_tessellatus,Sperchopsis
Robackia_demeijerei,Robackia
Rhyacophila_acutiloba,Rhyacophila
Maccaffertium_mexicanum,Maccaffertium
Orthocladius_dorenus,Orthocladius
Natarsia_sp_A,Natarsia
Serratella_serrata,Serratella
Chloroperlidae,Chloroperlidae
Brachycentrus_spp,Brachycentrus
Maccaffertium_carlsoni,Maccaffertium
Ablabesmyia_rhamphe_gr,Ablabesmyia
Polypedilum_tritum,Polypedilum
Parapsyche_cardis,Parapsyche
Dixella_spp,Dixella
Microtendipes_rydalensis_gr,Microtendipes
Diploperla_duplicata,Diploperla
Maccaffertium_terminatum,Maccaffertium
Promoresia_tardella,Promoresia
Sphaerium_spp,Sphaerium
Cricotopus_annulator_complex,Cricotopus
Acerpenna_pygmaea,Acerpenna
Bezzia_Palpomyia_spp,Bezzia
Helichus_lithophilus,Helichus
Eurylophella_aestiva,Eurylophella
Hagenius_brevistylus,Hagenius
Tanytarsus_sp_L_gr,Tanytarsus
Ephemerella_hispida,Ephemerella
Pteronarcys_biloba,Pteronarcys
Drunella_allegheniensis,Drunella
Isoperla_spp,Isoperla
Pentaneura_inconspicua,Pentaneura
Triaenodes_perna_helo,Triaenodes
Tvetenia_vitracies,Tvetenia
Musculium_spp,Musculium
Serratella_carolina,Serratella
Gyrinus_spp,Gyrinus
Ephemerella_rossi_gr,Ephemerella
Orthocladius_obumbratus_gr,Orthocladius
Pycnopsyche_lepida_gr,Pycnopsyche
Brachycentrus_appalachia,Brachycentrus
Leptophlebia_spp,Leptophlebia
Orthocladius_carlatus,Orthocladius
Laevapex_fuscus,Laevapex
Ischnura_spp,Ischnura
Diamesa_spp,Diamesa
Psilotreta_spp,Psilotreta
Hydroptila_spp,Hydroptila
Procladius_spp,Procladius
Stegopterna_mutata_diplomutata,Stegopterna
Cricotopus_vierriensis_gr,Cricotopus
Polypedilum_halterale_gr,Polypedilum
Hydrobaenus_spp,Hydrobaenus
Allocapnia_spp,Allocapnia
Eurylophella_spp,Eurylophella
Paratendipes_albimanus,Paratendipes
Paragnetina_ichusa_media,Paragnetina
Maccaffertium_exiguum,Maccaffertium
Cordulegaster_spp,Cordulegaster
Goera_spp,Goera
Hydrobiidae,Hydrobiidae
Brachycentrus_nigrosoma,Brachycentrus
Peltodytes_spp,Peltodytes
Ironoquia_punctatissima,Ironoquia
Gammarus_spp,Gammarus
Yugus_bulbosus,Yugus
Lype_diversa,Lype
Cardiocladius_obscurus,Cardiocladius
Limnodrilus_hoffmeisteri,Limnodrilus
Cinygmula_subaequalis,Cinygmula
Tubificidae,Tubificidae
Nanocladius_downesi,Nanocladius
Agapetus_spp,Agapetus
Ephemerella_spp,Ephemerella
Dicrotendipes_neomodestus,Dicrotendipes
Lirceus_spp,Lirceus
Isoperla_kirchneri_complex,Isoperla
Menetus_dilatatus,Menetus
Palaemonetes_paludosus,Palaemonetes
Brillia_flavifrons,Brillia
Lanthus_spp,Lanthus
Drunella_cornutella,Drunella
Sweltsa_spp,Sweltsa
Progomphus_spp,Progomphus
Baetisca_carolina,Baetisca
Leucotrichia_pictipes,Leucotrichia
Hydropsyche_H_rossi,Hydropsyche
Ceraclea_spp,Ceraclea
Neophylax_spp,Neophylax
Atherix_lantha,Atherix
Leptoxis_spp,Leptoxis
Neoperla_spp,Neoperla
Eurylophella_verisimilis,Eurylophella
Ephemera_spp,Ephemera
Neureclipsis_spp,Neureclipsis
Corynoneura_spp,Corynoneura
Stylogomphus_albistylus_sigmastylus,Stylogomphus
Helisoma_anceps,Helisoma
Eukiefferiella_claripennis_gr,Eukiefferiella
Optioservus_ovalis,Optioservus
Anchytarsus_bicolor,Anchytarsus
Stenochironomus_spp,Stenochironomus
Pisidium_spp,Pisidium
Isoperla_nr_holochlora,Isoperla
Hydatophylax_argus,Hydatophylax
Procloeon_spp,Procloeon
Rhyacophila_carolina,Rhyacophila
Cambarus_spp,Cambarus
Campeloma_decisum,Campeloma
Sialis_spp,Sialis
Rheocricotopus_robacki,Rheocricotopus
Orthocladius_oliveri,Orthocladius
Pteronarcys_dorsata,Pteronarcys
Phaenopsectra_obediens_gr,Phaenopsectra
Brachycentrus_numerosus,Brachycentrus
Crangonyx_serratus,Crangonyx
Heptagenia_spp,Heptagenia
Hyalella_spp,Hyalella
Labiobaetis_frondalis,Labiobaetis
Paragnetina_fumosa,Paragnetina
Polypedilum_fallax_sp_A,Polypedilum
Eurylophella_funeralis,Eurylophella
Habrophlebiodes_spp,Habrophlebiodes
Dubiraphia_spp,Dubiraphia
Ephemerella_catawba,Ephemerella
Nais_spp,Nais
Serratella_serratoides,Serratella
Platyhelminthes,Platyhelminthes
Maccaffertium_meririvulanum,Maccaffertium
Promoresia_elegans,Promoresia
Neoephemera_purpurea,Neoephemera
Pteronarcys_proteus,Pteronarcys
Acentrella_barbarae,Acentrella
Polypedilum_scalaenum_gr,Polypedilum
Crangonyx_spp,Crangonyx
Micrasema_wataga,Micrasema
Epeorus_pleuralis,Epeorus
Remenus_spp,Remenus
Hexatoma_spp,Hexatoma
Brachycentrus_spinae,Brachycentrus
Ophiogomphus_spp,Ophiogomphus
Hexagenia_spp,Hexagenia
Maccaffertium_spp,Maccaffertium
Eccoptura_xanthenes,Eccoptura
Neophylax_mitchelli,Neophylax
Hydropsyche_C_morosa,Hydropsyche
Rhithrogena_spp,Rhithrogena
Epeorus_dispar,Epeorus
Iswaeon_anoka,Iswaeon
Drunella_conestee,Drunella
Thienemanniella_spp,Thienemanniella
Cryptochironomus_spp,Cryptochironomus
Enallagma_spp,Enallagma
Dixa_spp,Dixa
Ancyronyx_variegatus,Ancyronyx
Heterocloeon_curiosum,Heterocloeon
Ablabesmyia_mallochi,Ablabesmyia
Cricotopus_bicinctus,Cricotopus
Microtendipes_pedellus_gr,Microtendipes
Chironomus_spp,Chironomus
Macromia_spp,Macromia
Antocha_spp,Antocha
Caecidotea_spp,Caecidotea
Helichus_fastigiatus,Helichus
Amphinemura_spp,Amphinemura
Hydropsyche_C_bronta,Hydropsyche
Oecetis_persimilis,Oecetis
Tvetenia_bavarica_gr,Tvetenia
Ferrissia_spp,Ferrissia
Ephemerella_dorothea,Ephemerella
Hydropsyche_H_venularis,Hydropsyche
Malirekus_hastatus,Malirekus
Dicranota_spp,Dicranota
Hydracarina,Hydracarina
Glossosoma_nigrior,Glossosoma
Megadrile_oligochaete,Megadrile
Neophylax_consimilis,Neophylax
Neoporus_spp,Neoporus
Nectopsyche_exquisita,Nectopsyche
Polycentropus_sensu_lato_spp,Polycentropus
Helichus_basalis,Helichus
Caenis_spp,Caenis
Tricorythodes_spp,Tricorythodes
Physa_spp,Physa
Labiobaetis_propinquus,Labiobaetis
Tribelos_jucundum,Tribelos
Isoperla_holochlora_light_form,Isoperla
Nigronia_serricornis,Nigronia
Polypedilum_aviceps,Polypedilum
Gomphus_spp,Gomphus
Nyctiophylax_spp,Nyctiophylax
Heptagenia_marginalis_gr,Heptagenia
Polypedilum_illinoense_gr,Polypedilum
Dineutus_spp,Dineutus
Parametriocnemus_spp,Parametriocnemus
Corydalus_cornutus,Corydalus
Neophylax_oligius,Neophylax
Stenacron_interpunctatum,Stenacron
Corbicula_fluminea,Corbicula
Rheotanytarsus_spp,Rheotanytarsus
Cambaridae,Cambaridae
Polypedilum_flavum,Polypedilum
Argia_spp,Argia
Psephenus_herricki,Psephenus
Acentrella_turbida_gr ,Acentrella
Maccaffertium_ithaca,Maccaffertium
Chimarra_spp,Chimarra
Macronychus_glabratus,Macronychus
Pteronarcys_scotti,Pteronarcys
Paragnetina_immarginata,Paragnetina
Tipula_spp,Tipula
Stenelmis_spp,Stenelmis
Calopteryx_spp,Calopteryx
Diplectrona_modesta,Diplectrona
Plauditus_dubius_gr,Plauditus
Baetis_tricaudatus,Baetis
Rhyacophila_fuscula,Rhyacophila
Lumbriculidae,Lumbriculidae
Teloganopsis_deficiens,Teloganopsis
Maccaffertium_pudicum,Maccaffertium
Elimia_spp,Elimia
Paraleptophlebia_spp,Paraleptophlebia
Boyeria_vinosa,Boyeria
Lepidostoma_spp,Lepidostoma
Leucrocuta_spp,Leucrocuta
Thienemannimyia_gr,Thienemannimyia
Baetis_flavistriga,Baetis
Stenacron_pallidum,Stenacron
Triaenodes_ignitus,Triaenodes
Perlesta_spp,Perlesta
Hydropsyche_H_betteni_depravata,Hydropsyche
Pycnopsyche_spp,Pycnopsyche
Epeorus_vitreus,Epeorus
Leuctra_spp,Leuctra
Baetis_pluto,Baetis
Dolophilodes_spp,Dolophilodes
Tallaperla_spp,Tallaperla
Simulium_spp,Simulium
Acroneuria_abnormis,Acroneuria
Baetis_intercalaris,Baetis
Hydropsyche_C_sparna,Hydropsyche
Isonychia_spp,Isonychia
Maccaffertium_modestum,Maccaffertium
Cheumatopsyche_spp,Cheumatopsyche
