Species
Nocomis_leptocephalus
Scartomyzon_rupiscartes
Lepomis_auritus
Lepomis_macrochirus
Cyprinella_analostana
Notropis_chiliticus
Notropis_hudsonius
Etheostoma_olmstedi
Ameiurus_platycephalus
Hybopsis_hypsinotus
Noturus_insignis
Percina_crassa
Catostomus_commersonii
Moxostoma_collapsum
Notropis_scepticus
Clinostomus_funduloides
Scartomyzon_sp._cf._lachneri
Etheostoma_brevispinum
Campostoma_anomalum
Chrosomus_oreas
Salmo_trutta
Notropis_lutipinnis
Notropis_spectrunculus
Rhinichthys_cataractae
Etheostoma_gutselli
Lepomis_cyanellus
Fundulus_rathbuni
Notropis_alborus
Etheostoma_flabellare
Cyprinella_lutrensis
Lepomis_microlophus
Semotilus_atromaculatus
Gambusia_holbrooki
Lepomis_gibbosus
Cyprinella_nivea
Lepomis_sp.
Micropterus_salmoides
Notropis_altipinnis
Erimyzon_oblongus
Lepomis_gulosus
Ictalurus_punctatus
Micropterus_punctulatus
Ameiurus_natalis
Aphredoderus_sayanus
Notemigonus_crysoleucas
Notropis_petersoni
Pimephales_promelas
Hypentelium_nigricans
Ameiurus_brunneus
Cyprinella_pyrrhomelas
Hypentelium_roanokense
Micropterus_dolomieu
Ambloplites_rupestris
Pomoxis_annularis
Rhinichthys_obtusus
Cyprinella_labrosa
Luxilus_coccogenis
Moxostoma_pappillosum
Hybognathus_regius
Pomoxis_nigromaculatus
Perca_flavescens
Dorosoma_cepedianum
Lythrurus_ardens
Minytrema_melanops
Ameiurus_nebulosus
Notropis_procne
Notropis_cummingsae
Etheostoma_mariae
Esox_niger
Esox_americanus
Lepomis_marginatus
Umbra_pygmaea
Elassoma_zonatum
Anguilla_rostrata
Semotilus_lumbee
Etheostoma_collis
Notropis_amoenus
Centrarchus_macropterus
Enneacanthus_gloriosus
Etheostoma_serrifer
Acantharchus_pomotis
Etheostoma_fusiforme
Noturus_gyrinus
Etheostoma_sp._cf_nigrum/olmstedi
Amia_calva
Percina_nevisense
Lepisosteus_osseus
Etheostoma_vitreum
Percina_roanoka
Oncorhynchus_mykiss
Cottus_bairdii
Notropis_rubricroceus
Nocomis_micropogon
Ichthyomyzon_greeleyi
Notropis_leuciodus
Percina_evides
Etheostoma_chlorobranchium
Etheostoma_rufilineatum
Etheostoma_swannanoa
Notropis_photogenis
Cyprinella_galactura
Notropis_chlorocephalus
Etheostoma_zonale
Moxostoma_duquesnei
Notropis_telescopus
Notropis_sp._cf._chlorocephalus
Etheostoma_thalassinum
Cyprinella_chloristia
Cyprinella_zanema
Ameiurus_catus
Luxilus_albeolus
Lythrurus_matutinus
Nocomis_raneyi
Morone_americana
Etheostoma_nigrum
Luxilus_cerasinus
Scartomyzon_cervinus
Moxostoma_erythrurum
Etheostoma_podostemone
Pylodictis_olivaris
Ambloplites_cavifrons
Etheostoma_blennioides
Hybopsis_amblops
Etheostoma_kanawhae
Notropis_sp._cf._rubellus
Clinostomus_sp._cf._funduloides
Phenacobius_crassilabrum
Fundulus_lineolatus
Phenacobius_teretulus
Notropis_scabriceps
Exoglossum_laurae
Nocomis_platyrhynchus
Cyprinella_spiloptera
Percina_gymnocephala
Pimephales_notatus
Salvelinus_fontinalis
Notropis_volucellus
Luxilus_chrysocephalus
Ichthyomyzon_bdellium
Percina_aurantiaca
Notropis_mekistocholas
Enneacanthus_chaetodon
Moxostoma_sp._cf._carinatum
Notropis_micropteryx
Alosa_sapidissima
Scartomyzon_ariommus
Moxostoma_macrolepidotum
Petromyzon_marinus
Lepomis_punctatus
Dorosoma_petenense
Etheostoma_inscriptum
