SITE_ID,ABEDUS,ABLABESMYIA,ACENTRELLA,ACERPENNA,ACNEUS,ACRICOTOPUS,ACRONEURIA,ACTINOBDELLA,ADICROPHLEPS,AEDES,AEOLOSOMATIDAE,AESHNA,AESHNIDAE,AGABETES,AGABUS,AGAPETUS,AGARODES,AGATHON,AGNETINA,AGRAYLEA,ALBERTATHYAS,ALBIA,ALBOGLOSSIPHONIA,ALLOCAPNIA,ALLOCOSMOECUS,ALLOGNOSTA,ALLOMYIA,ALLONAIS,ALLOPERLA,ALMYRACUMA,ALOTANYPUS,AMBRYSUS,AMELETUS,AMERCAENIS,AMERICAMYSIS,AMERICOROPHIUM,AMETOR,AMETROPUS,AMIOCENTRUS,AMPHARETIDAE,AMPHIAGRION,AMPHICOSMOECUS,AMPHINEMURA,AMPHIPODA,AMPUMIXIS,ANABOLIA,ANACAENA,ANAGAPETUS,ANAX,ANCHYCTEIS,ANCHYTARSUS,ANCYLIDAE,ANCYRONYX,ANISOCENTROPUS,ANOPHELES,ANTHOPOTAMUS,ANTILLOCLADIUS,ANTOCHA,APATANIA,APATANIIDAE,APOBAETIS,APOCOROPHIUM,APSECTROTANYPUS,APTERALIPLUS,ARACHNIDA,ARCHILESTES,ARCTEONAIS,ARCTOPSYCHE,ARGIA,ARGULUS,ARIGOMPHUS,ARMIGER,ARRENURIDAE,ARRENURUS,ASELLIDAE,ASHEUM,ASIOPLAX,ASYNARCHUS,ATHERIX,ATOPSYCHE,ATRACTELMIS,ATRACTIDES,ATRICHOPOGON,ATTANEURIA,ATTENELLA,ATURIDAE,ATURUS,AULODRILUS,AXARUS,AXONOPSIDAE,BAETIDAE,BAETIS,BAETISCA,BAETISCIDAE,BAETODES,BANKSIOLA,BASIAESCHNA,BATRACOBDELLA,BEARDIUS,BECKIDIA,BELOSTOMA,BELOSTOMATIDAE,BEOTHUKUS,BEROSUS,BETHBILBECKIA,BIBIOCEPHALA,BIOMPHALARIA,BITTACOMORPHA,BIVALVIA,BLEPHARICERA,BLEPHARICERIDAE,BOLSHECAPNIA,BOREOCHLUS,BOREOHEPTAGYIA,BOTHRIONEURUM,BOYERIA,BRACHYCENTRIDAE,BRACHYCENTRUS,BRACHYCERCUS,BRANCHIOBDELLIDA,BRANCHIOBDELLIDAE,BRANCHIODRILUS,BRANCHIURA,BRATISLAVIA,BRECHMORHOGA,BRILLIA,BRUNDINIELLA,BRYCHIUS,BRYOPHAENOCLADIUS,BULIMNAEA,CAECIDOTEA,CAENIDAE,CAENIS,CALINEURIA,CALLIBAETIS,CALOPARYPHUS,CALOPTERYGIDAE,CALOPTERYX,CAMBARIDAE,CAMBARINCOLIDAE,CAMBARUS,CAMELOBAETIDIUS,CAMPELOMA,CAMPTOCLADIUS,CAPITELLIDAE,CAPNIIDAE,CARDIOCLADIUS,CASSIDINIDEA,CAUDATELLA,CELINA,CELITHEMIS,CENTROLIMNESIA,CENTROPTILUM,CERACLEA,CERATOPOGONIDAE,CERATOPOGONINAE,CERCOBRACHYS,CERNOTINA,CHAETARTHRIA,CHAETOCLADIUS,CHAETOGASTER,CHAOBORUS,CHAULIODES,CHEILOTRICHIA,CHELIFERA,CHERNOVSKIIA,CHEUMATOPSYCHE,CHIMARRA,CHIRIDOTEA,CHIRONOMIDAE,CHIRONOMUS,CHLOROPERLIDAE,CHLOROTABANUS,CHOROTERPES,CHROMAGRION,CHRYSOMELIDAE,CHRYSOPS,CHYRANDRA,CINYGMA,CINYGMULA,CLAASSENIA,CLADOPELMA,CLADOTANYTARSUS,CLATHROSPERCHON,CLATHROSPERCHONIDAE,CLEPTELMIS,CLIMACIA,CLINOCERA,CLINOTANYPUS,CLOEODES,CLOEON,CNEPHIA,CNIDARIA,COELOTANYPUS,COENAGRIONIDAE,COLEOPTERA,COLLEMBOLA,CONSTEMPELLINA,COPELATUS,COPTOTOMUS,CORBICULA,CORDULEGASTER,CORDULIIDAE,COROPHIIDAE,CORTICACARUS,CORYDALIDAE,CORYDALUS,CORYNONEURA,CRAMBIDAE,CRANGONYX,CRICOTOPUS/ORTHOCLADIUS,CRYPTOCHIA,CRYPTOCHIRONOMUS,CRYPTOLABIS,CRYPTOTENDIPES,CULEX,CULICIDAE,CULOPTILA,CULTUS,CURCULIONIDAE,CYATHURA,CYBISTER,CYMBIODYTA,CYPHOMELLA,CYPHON,CYRNELLUS,DANNELLA,DASYHELEA,DECAPODA,DEMEIJEREA,DEMICRYPTOCHIRONOMUS,DERALLUS,DERO,DEROTANYPUS,DESMONA,DESPAXIA,DESSEROBDELLA,DEUTEROPHLEBIA,DIACHLORUS,DIAMESA,DICOSMOECUS,DICRANOTA,DICROTENDIPES,DIDYMOPS,DINEUTUS,DIPHETOR,DIPLECTRONA,DIPLOCLADIUS,DIPLOPERLA,DIPTERA,DIURA,DIXA,DIXELLA,DIXIDAE,DJALMABATISTA,DOLICHOPODIDAE,DOLOPHILODES,DORONEURIA,DREISSENA,DROMOGOMPHUS,DRUNELLA,DRYOPIDAE,DUBIRAPHIA,DYTISCIDAE,DYTISCUS,ECCLISOCOSMOECUS,ECCLISOMYIA,ECCOPTURA,ECDYONURUS,ECHINOGAMMARUS,ECLIPIDRILUS,ECTEMNIA,ECTOPRIA,EDOTIA,EINFELDIA,ELIMIA,ELLIPTIO,ELMIDAE,EMPIDIDAE,ENALLAGMA,ENCHYTRAEIDAE,ENDOCHIRONOMUS,ENDOTRIBELOS,ENOCHRUS,EOBRACHYCENTRUS,EOCOSMOECUS,EPEORUS,EPHEMERA,EPHEMERELLA,EPHEMERELLIDAE,EPHEMERIDAE,EPHEMEROPTERA,EPHORON,EPHYDRA,EPHYDRIDAE,EPIAESCHNA,EPITHECA,EPOICOCLADIUS,ERIOPTERA,ERPETOGOMPHUS,ERPOBDELLA,ERPOBDELLIDAE,ERYTHEMIS,ESTELLOXUS,EUBRIANAX,EUKIEFFERIELLA,EUPARYPHUS,EUPERA,EURYHAPSIS,EURYLOPHELLA,EYLAIDAE,EYLAIS,FALLCEON,FALLICAMBARUS,FARULA,FATTIGIA,FAXONELLA,FELTRIA,FERRISSIA,FISSIMENTUM,FITTKAUIMYIA,FORCIPOMYIA,FORELIA,FOSSARIA,FRISONIA,FRONTIPODA,GAMMARIDAE,GAMMARUS,GASTROPODA,GEAYIA,GILLOTIA,GLOIOBDELLA,GLOSSIPHONIA,GLOSSIPHONIIDAE,GLOSSOSOMA,GLOSSOSOMATIDAE,GLUTOPS,GLYPHOPSYCHE,GLYPTOTENDIPES,GOELDICHIRONOMUS,GOERA,GOMPHIDAE,GOMPHUS,GONIDEA,GONIOBASIS,GONOMYIA,GRANDIDIERELLA,GUMAGA,GUTTIPELOPIA,GYMNOCHTHEBIUS,GYMNOMETRIOCNEMUS,GYRAULUS,GYRETES,GYRINIDAE,GYRINUS,HABROPHLEBIA,HABROPHLEBIODES,HAEMONAIS,HAGENIUS,HALIPLIDAE,HALIPLUS,HAPLOPERLA,HAPLOTAXIDA,HAPLOTAXIS,HARNISCHIA,HEBETONCYLUS,HELENIELLA,HELICHUS,HELICOPSYCHE,HELISOMA,HELIUS,HELOBDELLA,HELOCHARES,HELOCORDULIA,HELODON,HELOPHORUS,HEMERODROMIA,HEPTAGENIA,HEPTAGENIIDAE,HESPEROCONOPA,HESPEROPERLA,HESPEROPHYLAX,HETAERINA,HETERELMIS,HETERLIMNIUS,HETEROCERIDAE,HETEROCLOEON,HETEROPLECTRON,HETEROTANYTARSUS,HETEROTRISSOCLADIUS,HEXACYLLOEPUS,HEXAGENIA,HEXATOMA,HIRUDINEA,HOMOEONEURIA,HOMOLEPTOHYPHES,HYALELLA,HYALELLIDAE,HYBOMITRA,HYDATICUS,HYDATOPHYLAX,HYDRACHNA,HYDRACHNIDAE,HYDRAENA,HYDRELLIA,HYDROBAENUS,HYDROBIIDAE,HYDROBIUS,HYDROCANTHUS,HYDROCHARA,HYDROCHUS,HYDROCOLUS,HYDRODROMA,HYDRODROMIDAE,HYDROPHILIDAE,HYDROPHILUS,HYDROPORUS,HYDROPSYCHE,HYDROPSYCHIDAE,HYDROPTILA,HYDROPTILIDAE,HYDROVATUS,HYDROVOLZIA,HYDROZETIDAE,HYDRYPHANTES,HYDRYPHANTIDAE,HYGROBATES,HYGROBATIDAE,HYGROTUS,HYPORHYGMA,ILYBIUS,ILYODRILUS,IRONODES,IRONOQUIA,ISCHNURA,ISOCHAETIDES,ISOGENOIDES,ISONYCHIA,ISOPERLA,ISOPODA,ISWAEON,ITHYTRICHIA,JUGA,KATHROPERLA,KIEFFERULUS,KLOOSIA,KOENIKEA,KOGOTUS,KRENDOWSKIA,KRENDOWSKIIDAE,KRENOPELOPIA,KRENOSMITTIA,LABRUNDINIA,LACCOBIUS,LACCOPHILUS,LAEVAPEX,LANTHUS,LANX,LARA,LARSIA,LAUTERBORNIELLA,LEBERTIA,LEBERTIIDAE,LEPIDOPTERA,LEPIDOSTOMA,LEPIDOSTOMATIDAE,LEPTOCERIDAE,LEPTOCERUS,LEPTOCHELIA,LEPTOCHELIIDAE,LEPTOHYPHES,LEPTOHYPHIDAE,LEPTOPHLEBIA,LEPTOPHLEBIIDAE,LEPTOXIS,LESTES,LETHOCERUS,LEUCORRHINIA,LEUCOTRICHIA,LEUCROCUTA,LEUCTRA,LEUCTRIDAE,LIBELLULA,LIBELLULIDAE,LIGUMIA,LIMNEPHILIDAE,LIMNEPHILUS,LIMNESIA,LIMNESIIDAE,LIMNOCHARES,LIMNOCHARIDAE,LIMNOCORIS,LIMNODRILUS,LIMNOPHILA,LIMNOPHORA,LIMNOPHYES,LIMONIA,LIODESSUS,LIOPLAX,LIPINELLA,LIPSOTHRIX,LIRCEUS,LITHASIA,LITOBRANCHA,LOPESCLADIUS,LUMBRICIDAE,LUMBRICULIDAE,LUMBRICULUS,LUTROCHUS,LYMNAEA,LYMNAEIDAE,LYNCEUS,LYPE,MACCAFFERTIUM,MACRELMIS,MACROBRACHIUM,MACROMIA,MACRONYCHUS,MACROPELOPIA,MACROSTEMUM,MALACOSTRACA,MALENKA,MALIREKUS,MARGARITIFERA,MARILIA,MARUINA,MATUS,MAYATRICHIA,MEGARCYS,MEGASCOLECIDAE,MELANOIDES,MENETUS,MERINGODIXA,MERYCOMYIA,MESOSMITTIA,METACNEPHIA,METRETOPODIDAE,METRICHIA,METRIOCNEMUS,MICRASEMA,MICROCHIRONOMUS,MICROCYLLOEPUS,MICROPSECTRA,MICROTENDIPES,MIDEOPSIDAE,MIDEOPSIS,MOLANNA,MOLANNIDAE,MOLOPHILUS,MOMONIA,MONODIAMESA,MONOPELOPIA,MOOREOBDELLA,MOSELIA,MULINIA,MUSCIDAE,MUSCULIUM,MYSIDAE,MYSTACIDES,MYXOSARGUS,MYZOBDELLA,NAIDIDAE,NAIS,NANOCLADIUS,NARPUS,NASIAESCHNA,NATARSIA,NAUCORIDAE,NAUTARACHNA,NECTOPSYCHE,NEMATA,NEMERTEA,NEMOTAULIUS,NEMOTELUS,NEMOURIDAE,NEOACARIDAE,NEOCHOROTERPES,NEOELMIS,NEOEPHEMERA,NEOHERMES,NEOLIMNOCHARES,NEOPERLA,NEOPHYLAX,NEOPLASTA,NEOPLEA,NEOSTEMPELLINA,NEOTHREMMA,NEOTRICHIA,NEOZAVRELIA,NEPA,NEPHELOPSIS,NEREIDIDAE,NERITINA,NEUMANIA,NEURECLIPSIS,NEUROCORDULIA,NIGRONIA,NILOTANYPUS,NILOTHAUMA,NIXE,NO_INVERTEBRATES_IN_SAMPLE,NOTERIDAE,NOTOPANISUS,NYCTIOPHYLAX,NYMPHOMYIA,NYMPHOMYIIDAE,OBLIQUARIA,OCHROTRICHIA,OCHTHEBIUS,OCTOGOMPHUS,ODONATA,ODONTOCERIDAE,ODONTOMESA,ODONTOMYIA,OECETIS,OLIGOCHAETA,OLIGOPHLEBODES,OLIGOSTOMIS,OLIVEIRIELLA,OMISUS,ONCONEURA,ONOCOSMOECUS,OPHIDONAIS,OPHIOGOMPHUS,OPLONAESCHNA,OPTIOSERVUS,ORCONECTES,ORDOBREVIA,OREODYTES,OREOGETON,ORMOSIA,OROHERMES,OROPERLA,ORTHEMIS,ORTHOTRICHIA,OSTRACODA,OULIMNIUS,OXIDAE,OXUS,OXYETHIRA,PACHYDIPLAX,PACIFASTACUS,PAGASTIA,PAGASTIELLA,PALAEAGAPETUS,PALAEMONETES,PALAEMONIDAE,PALTOTHEMIS,PANTALA,PARABOREOCHLUS,PARACAPNIA,PARACHAETOCLADIUS,PARACHIRONOMUS,PARACLADIUS,PARACLADOPELMA,PARACLOEODES,PARACRICOTOPUS,PARACYMUS,PARAGNETINA,PARAKIEFFERIELLA,PARALAUTERBORNIELLA,PARALEPTOPHLEBIA,PARALEUCTRA,PARALIMNOPHYES,PARAMERINA,PARAMETRIOCNEMUS,PARANAIS,PARAPERLA,PARAPHAENOCLADIUS,PARAPLEA,PARAPONYX,PARAPSYCHE,PARASMITTIA,PARATANYTARSUS,PARATENDIPES,PARATRICHOCLADIUS,PAROCHLUS,PARORTHOCLADIUS,PARTHINA,PARYDRA,PEDICIA,PEDOMOECUS,PELOCORIS,PELTODYTES,PELTOPERLA,PELTOPERLIDAE,PENTAGENIA,PENTANEURA,PERICOMA,PERITHEMIS,PERLESTA,PERLIDAE,PERLINELLA,PERLINODES,PERLODIDAE,PETROPHILA,PHAENOPSECTRA,PHILOPOTAMIDAE,PHRYGANEIDAE,PHTHIRACARIDAE,PHYLLODOCIDAE,PHYLOCENTROPUS,PHYSA,PHYSELLA,PHYSIDAE,PIERSIGIIDAE,PIGUETIELLA,PILARIA,PIONA,PIONIDAE,PISCICOLA,PISCICOLIDAE,PISIDIIDAE,PISIDIUM,PLACOBDELLA,PLANORBELLA,PLANORBIDAE,PLANORBULA,PLATYCENTROPUS,PLATYSMITTIA,PLAUDITUS,PLECOPTERA,PLEIDAE,PLEUROCERA,PLEUROCERIDAE,PLUMIPERLA,PODMOSTA,POLYCELIS,POLYCENTROPODIDAE,POLYCENTROPUS,POLYCHAETA,POLYMITARCYIDAE,POLYPEDILUM,POLYPLECTROPUS,POMATIOPSIS,PORIFERA,PORTUNIDAE,POSTELICHUS,POTAMOTHRIX,POTAMYIA,POTTHASTIA,PRISTINA,PRISTINELLA,PROCAMBARUS,PROCLADIUS,PROCLOEON,PRODIAMESA,PROGOMPHUS,PROMENETUS,PROMORESIA,PROSIMULIUM,PROSTOIA,PROSTOMA,PROTANYDERUS,PROTANYPUS,PROTOPLASA,PROTOPTILA,PROTZIA,PROTZIIDAE,PSECTROCLADIUS,PSECTROTANYPUS,PSEPHENIDAE,PSEPHENUS,PSEUDIRON,PSEUDOCENTROPTILOIDES,PSEUDOCHIRONOMUS,PSEUDOCLOEON,PSEUDODIAMESA,PSEUDOLIMNOPHILA,PSEUDORTHOCLADIUS,PSEUDOSMITTIA,PSEUDOSUCCINEA,PSILOMETRIOCNEMUS,PSILOTRETA,PSOROPHORA,PSYCHODA,PSYCHODIDAE,PSYCHOGLYPHA,PSYCHOMYIA,PSYCHOMYIIDAE,PTERONARCELLA,PTERONARCYIDAE,PTERONARCYS,PTILOSTOMIS,PTYCHOPTERA,PTYCHOPTERIDAE,PYCNOPSYCHE,PYRALIDAE,QUISTRADRILUS,RADOTANYPUS,RAMELLOGAMMARUS,RANATRA,REMENUS,REOMYIA,RHABDOMASTIX,RHEOCRICOTOPUS,RHEOSMITTIA,RHEOTANYTARSUS,RHITHROGENA,RHITHROPANOPEUS,RHIZELMIS,RHYACODRILUS,RHYACOPHILA,RHYACOPHILIDAE,RICKERA,RIPISTES,ROBACKIA,ROEDERIODES,SABELLIDAE,SAETHERIA,SANFILIPPODYTES,SARCOPTIFORMES,SCATELLA,SCATOPHILA,SCIARIDAE,SCIOMYZIDAE,SCIRTES,SCIRTIDAE,SEPEDON,SERGENTIA,SERICOSTRIATA,SERRATELLA,SETACERA,SETODES,SETVENA,SIALIS,SIERRAPERLA,SILVIUS,SIMULIIDAE,SIMULIUM,SIPHLONURIDAE,SIPHLONURUS,SIPHLOPLECTON,SISYRA,SISYRIDAE,SKWALA,SLAVINA,SMICRIDEA,SMITTIA,SOLIPERLA,SOMATOCHLORA,SOYEDINA,SPARBARUS,SPECARIA,SPERCHON,SPERCHONIDAE,SPERCHONOPSIS,SPERCHOPSIS,SPHAERIUM,SPIONIDAE,SPIROSPERMA,STACTOBIELLA,STAGNICOLA,STAPHYLINIDAE,STELECHOMYIA,STEMPELLINA,STEMPELLINELLA,STENACRON,STENELMIS,STENOCHIRONOMUS,STENOCOLUS,STENONEMA,STEPHENSONIANA,STICTOCHIRONOMUS,STICTOTARSUS,STILOCLADIUS,STRATIOMYIDAE,STRATIOMYS,STYGOBROMUS,STYGOTHROMBIDIIDAE,STYGOTHROMBIUM,STYLARIA,STYLODRILUS,STYLOGOMPHUS,STYLURUS,SUBLETTEA,SUPHIS,SUPHISELLUS,SURAGINA,SUWALLIA,SWELTSA,SYMBIOCLADIUS,SYMPETRUM,SYMPOTTHASTIA,SYNDIAMESA,SYNORTHOCLADIUS,SYNURELLA,SYRPHIDAE,TABANIDAE,TABANUS,TAENIONEMA,TAENIOPTERYGIDAE,TAENIOPTERYX,TALLAPERLA,TANYPUS,TANYTARSUS,TAPHROMYSIS,TELOGANOPSIS,TEMPISQUITONEURA,TENERIDRILUS,TESTUDACARUS,TETANOCERA,TEUTONIA,THAUMALEIDAE,THEROMYZON,THIENEMANNIA,THIENEMANNIELLA,THIENEMANNIMYIA_GENUS_GR.,THOLYMIS,THRAULODES,THYOPSIS,TIMPANOGA,TINODES,TIPULA,TIPULIDAE,TOKUNAGAIA,TORRENTICOLA,TORRENTICOLIDAE,TORTOPUS,TOXOLASMA,TRAVERELLA,TRIAENODES,TRIBELOS,TRICHOCLINOCERA,TRICHOPTERA,TRICORYHYPHES,TRICORYTHODES,TRIOGMA,TRISSOPELOPIA,TRIZNAKA,TROMBIDIFORMES,TROPISTERNUS,TUBIFEX,TUBIFICIDAE,TUBIFICOIDES,TURBELLARIA,TVETENIA,TWINNIA,TYRRELLIA,UCA,UENOIDAE,UNCINAIS,UNIONICOLA,UNIONICOLIDAE,UNIONIDAE,UNIONOIDA,UNNIELLA,UTTERBACKIA,VACUPERNIUS,VALVATA,VARICHAETADRILUS,VEJDOVSKYELLA,VENEROIDA,VISOKA,VIVIPARIDAE,VIVIPARUS,VORTICIFEX,WANDESIA,WETTINA,WIEDEMANNIA,WORMALDIA,XENOCHIRONOMUS,XESTOCHIRONOMUS,XYLOTOPUS,YLODES,YORAPERLA,YPHRIA,YUGUS,ZAITZEVIA,ZALUTSCHIA,ZAPADA,ZAVRELIA,ZAVRELIELLA,ZAVRELIMYIA
FW08AL001,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,3,,,2,1,,,,,,1,,,,,,3,,,,,,,,,,1,,1,,,,,,,2,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,3,,2,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,2,,,,,1,,,,,,,,,1,,3,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,2,,,,,,,3,3,,,,,,2,,,,,1,,,,,,,,,3,,,,,2,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,2,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,3,,,,,1,,,,1,,,,,3,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,3,2,,,,,,,,,,,,,,,2,1,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,1,3,,,,,,,1,,2,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1
FW08AL002,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,3,,3,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,1,3,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW08AL003,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW08AL004,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
